SRR          CE              FP               GO              IOGA  NP  OA
SRR1945660:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
SRR1945661:  ERROR           INCOMPLETE_low   ERROR           -     -   -
SRR1945662:  ERROR           INCOMPLETE_low   ERROR           -     -   -
SRR1945663:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945664:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945665:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945666:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945667:  INCOMPLETE_low  SUCCESS          -               -     -   -
SRR1945668:  INCOMPLETE_low  INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945669:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
SRR1945670:  INCOMPLETE_low  INCOMPLETE_low   -               -     -   -
SRR1945672:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
SRR1945673:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
SRR1945674:  INCOMPLETE_low  INCOMPLETE_low   -               -     -   -
SRR1945676:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
SRR1945677:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
SRR1945678:  INCOMPLETE_low  INCOMPLETE_low   -               -     -   -
SRR1945680:  PARTIAL         INCOMPLETE_low   -               -     -   -
SRR1945682:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
SRR1945683:  INCOMPLETE_low  PARTIAL          ERROR           -     -   -
SRR1945684:  INCOMPLETE_low  INCOMPLETE_low   -               -     -   -
SRR1945686:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
SRR1945687:  ERROR           INCOMPLETE_low   INCOMPLETE_low  -     -   -
SRR1945688:  INCOMPLETE_low  INCOMPLETE_low   -               -     -   -
SRR1945690:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
SRR1945691:  ERROR           INCOMPLETE_low   ERROR           -     -   -
SRR1945692:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
SRR1945693:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
SRR1945694:  ERROR           INCOMPLETE_low   ERROR           -     -   -
SRR1945695:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
SRR1945696:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
SRR1945697:  INCOMPLETE_low  INCOMPLETE_low   ERROR           -     -   -
